role_name,user_building_id,user_building_name,username,email,schoology_user_id,unique_user_id,action_type,item_type,item_id,item_name,course_name,course_code,section_name,last_event_timestamp,event_count,role_id,user_building_code,last_name,first_name,device_type,item_building_id,item_building_name,item_building_code,item_parent_type,group_id,group_name,course_id,section_id,section_school_code,section_code,month,date,timestamp,time spent (seconds)
System Admin,2908525646,Ed-Fi Alliance - Grand Bend High school,stephen.fuqua,stephen.fuqua@ed-fi.org,99588912,111111,GRADE,ASSIGNMENT,2979142114,Mid-Term Exam,Algebra I ༼ つ ◕_◕ ༽つ,ALG-1,Algebra I,2020-11-04 20:06:44.791,1,796378,,Fuqua,Stephen,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,COURSE,,,2942191514,2942191527,,ALG-1-1,11,11/04/2020,20:06,
System Admin,2908525646,Ed-Fi Alliance - Grand Bend High school,stephen.fuqua,stephen.fuqua@ed-fi.org,99588912,111111,UPDATE,SESSION,,,,,,2020-11-04 22:14:23.346,4,796378,,Fuqua,Stephen,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,USER,,,,,,,11,11/04/2020,22:14,
System Admin,2908525646,Ed-Fi Alliance - Grand Bend High school,stephen.fuqua,stephen.fuqua@ed-fi.org,99588912,111111,READ,ASSIGNMENT,2979142114,Mid-Term Exam,Algebra I ༼ つ ◕_◕ ༽つ,ALG-1,Algebra I,2020-11-04 22:42:52.786,2,796378,,Fuqua,Stephen,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,COURSE,,,2942191514,2942191527,,ALG-1-1,11,11/04/2020,22:42,
System Admin,2908525646,Ed-Fi Alliance - Grand Bend High school,stephen.fuqua,stephen.fuqua@ed-fi.org,99588912,111111,READ,ASSIGNMENT,2942251001,Algebra foundations,Algebra I ༼ つ ◕_◕ ༽つ,ALG-1,Algebra I,2020-11-04 22:55:49.459,3,796378,,Fuqua,Stephen,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,COURSE,,,2942191514,2942191527,,ALG-1-1,11,11/04/2020,22:55,
System Admin,2908525646,Ed-Fi Alliance - Grand Bend High school,stephen.fuqua,stephen.fuqua@ed-fi.org,99588912,111111,READ,ASSIGNMENT,2942255624,Solving Equations and Inequalities,Algebra I ༼ つ ◕_◕ ༽つ,ALG-1,Algebra I,2020-11-04 22:56:01.700,3,796378,,Fuqua,Stephen,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,COURSE,,,2942191514,2942191527,,ALG-1-1,11,11/04/2020,22:56,
Student,2908525646,Ed-Fi Alliance - Grand Bend High school,mary.archer,mary.archer@studentgps.org,100032890,604863,UPDATE,SESSION,,,,,,2020-11-04 22:59:18.086,2,796380,,Archer,Mary,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,USER,,,,,,,11,11/04/2020,22:59,
System Admin,2908525646,Ed-Fi Alliance - Grand Bend High school,stephen.fuqua,stephen.fuqua@ed-fi.org,99588912,111111,UPDATE,SESSION,,,,,,2020-11-05 20:22:33.648,1,796378,,Fuqua,Stephen,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,USER,,,,,,,11,11/05/2020,20:22,
System Admin,2908525646,Ed-Fi Alliance - Grand Bend High school,stephen.fuqua,stephen.fuqua@ed-fi.org,99588912,111111,CREATE,SESSION,,,,,,2020-11-05 20:22:33.714,1,796378,,Fuqua,Stephen,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,USER,,,,,,,11,11/05/2020,20:22,
System Admin,2908525646,Ed-Fi Alliance - Grand Bend High school,stephen.fuqua,stephen.fuqua@ed-fi.org,99588912,111111,CREATE,SESSION,,,,,,2020-11-09 20:39:22.945,1,796378,,Fuqua,Stephen,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,USER,,,,,,,11,11/09/2020,20:39,
System Admin,2908525646,Ed-Fi Alliance - Grand Bend High school,stephen.fuqua,stephen.fuqua@ed-fi.org,99588912,111111,READ,DISCUSSION,3278946222,First Algebra Discussion Topic,Algebra I ༼ つ ◕_◕ ༽つ,ALG-1,Algebra I,2020-11-09 20:39:48.298,1,796378,,Fuqua,Stephen,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,COURSE,,,2942191514,2942191527,,ALG-1-1,11,11/09/2020,20:39,180
System Admin,2908525646,Ed-Fi Alliance - Grand Bend High school,stephen.fuqua,stephen.fuqua@ed-fi.org,99588912,111111,GRADE,DISCUSSION,3278946222,First Algebra Discussion Topic,Algebra I ༼ つ ◕_◕ ༽つ,ALG-1,Algebra I,2020-11-09 20:41:22.425,2,796378,,Fuqua,Stephen,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,COURSE,,,2942191514,2942191527,,ALG-1-1,11,11/09/2020,20:41,
System Admin,2908525646,Ed-Fi Alliance - Grand Bend High school,stephen.fuqua,stephen.fuqua@ed-fi.org,99588912,111111,CREATE,DISCUSSION,3307515366,Ungraded Discussion (⌐■_■),Algebra I ༼ つ ◕_◕ ༽つ,ALG-1,Algebra I,2020-11-09 21:02:05.992,1,796378,,Fuqua,Stephen,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,COURSE,,,2942191514,2942191527,,ALG-1-1,11,11/09/2020,21:02,
Student,2908525646,Ed-Fi Alliance - Grand Bend High school,mary.archer,mary.archer@studentgps.org,100032890,604863,CREATE,SESSION,,,,,,2020-11-09 21:02:51.807,1,796380,,Archer,Mary,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,USER,,,,,,,11,11/09/2020,21:02,
Student,2908525646,Ed-Fi Alliance - Grand Bend High school,mary.archer,mary.archer@studentgps.org,100032890,604863,SUBMIT,DISCUSSION,3307515366,Ungraded Discussion (⌐■_■),Algebra I ༼ つ ◕_◕ ༽つ,ALG-1,Algebra I,2020-11-09 21:05:27.957,1,796380,,Archer,Mary,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,COURSE,,,2942191514,2942191527,,ALG-1-1,11,11/09/2020,21:05,
Student,2908525646,Ed-Fi Alliance - Grand Bend High school,mary.archer,mary.archer@studentgps.org,100032890,604863,UPDATE,SESSION,,,,,,2020-11-09 22:32:28.783,3,796380,,Archer,Mary,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,USER,,,,,,,11,11/09/2020,22:32,
Student,2908525646,Ed-Fi Alliance - Grand Bend High school,mary.archer,mary.archer@studentgps.org,100032890,604863,READ,DISCUSSION,3307515366,Ungraded Discussion (⌐■_■),Algebra I ༼ つ ◕_◕ ༽つ,ALG-1,Algebra I,2020-11-09 22:32:34.991,2,796380,,Archer,Mary,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,COURSE,,,2942191514,2942191527,,ALG-1-1,11,11/09/2020,22:32,60
System Admin,2908525646,Ed-Fi Alliance - Grand Bend High school,stephen.fuqua,stephen.fuqua@ed-fi.org,99588912,111111,UPDATE,SESSION,,,,,,2020-11-09 22:43:12.767,2,796378,,Fuqua,Stephen,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,USER,,,,,,,11,11/09/2020,22:43,
Student,2908525646,Ed-Fi Alliance - Grand Bend High school,mary.archer,mary.archer@studentgps.org,100032890,604863,CREATE,UPDATE_POST,3307885072,,,,,2020-11-09 22:44:53.655,1,796380,,Archer,Mary,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,GROUP,3307882010,9th graders,,,,,11,11/09/2020,22:44,
Student,2908525646,Ed-Fi Alliance - Grand Bend High school,kyle.hughes,kyle.hughes@studentgps.org,100032891,604874,CREATE,SESSION,,,,,,2020-11-10 20:19:44.649,1,796380,,Hughes,Kyle,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,USER,,,,,,,11,11/10/2020,20:19,
System Admin,2908525646,Ed-Fi Alliance - Grand Bend High school,eric.jansson,eric.jansson@ed-fi.org,99515016,,READ,DISCUSSION,3307887455,,,,,2020-11-10 20:21:34.151,1,796378,,Jansson,Eric,UNKNOWN,2908525646,Ed-Fi Alliance - Grand Bend High school,,GROUP,3307882010,9th graders,,,,,11,11/10/2020,20:21,
Student,2908525646,Ed-Fi Alliance - Grand Bend High school,kyle.hughes,kyle.hughes@studentgps.org,100032891,604874,SUBMIT,ASSIGNMENT,2942255624,Solving Equations and Inequalities,Algebra I ༼ つ ◕_◕ ༽つ,ALG-1,Algebra I,2020-11-10 22:16:17.696,1,796380,,Hughes,Kyle,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,COURSE,,,2942191514,2942191527,,ALG-1-1,11,11/10/2020,22:16,
Student,2908525646,Ed-Fi Alliance - Grand Bend High school,kyle.hughes,kyle.hughes@studentgps.org,100032891,604874,READ,ASSIGNMENT,2942255624,Solving Equations and Inequalities,Algebra I ༼ つ ◕_◕ ༽つ,ALG-1,Algebra I,2020-11-10 22:16:17.956,3,796380,,Hughes,Kyle,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,COURSE,,,2942191514,2942191527,,ALG-1-1,11,11/10/2020,22:16,
Student,2908525646,Ed-Fi Alliance - Grand Bend High school,kyle.hughes,kyle.hughes@studentgps.org,100032891,604874,SUBMIT,ASSIGNMENT,2979142114,Mid-Term Exam,Algebra I ༼ つ ◕_◕ ༽つ,ALG-1,Algebra I,2020-11-10 22:18:29.630,1,796380,,Hughes,Kyle,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,COURSE,,,2942191514,2942191527,,ALG-1-1,11,11/10/2020,22:18,
Student,2908525646,Ed-Fi Alliance - Grand Bend High school,kyle.hughes,kyle.hughes@studentgps.org,100032891,604874,READ,ASSIGNMENT,2979142114,Mid-Term Exam,Algebra I ༼ つ ◕_◕ ༽つ,ALG-1,Algebra I,2020-11-10 22:18:29.855,3,796380,,Hughes,Kyle,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,COURSE,,,2942191514,2942191527,,ALG-1-1,11,11/10/2020,22:18,
Student,2908525646,Ed-Fi Alliance - Grand Bend High school,kyle.hughes,kyle.hughes@studentgps.org,100032891,604874,READ,ASSIGNMENT,3067588818,Analytics Export Testing,Algebra I ༼ つ ◕_◕ ༽つ,ALG-1,Algebra I,2020-11-10 22:23:13.198,3,796380,,Hughes,Kyle,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,COURSE,,,2942191514,2942191527,,ALG-1-1,11,11/10/2020,22:23,180
System Admin,2908525646,Ed-Fi Alliance - Grand Bend High school,stephen.fuqua,stephen.fuqua@ed-fi.org,99588912,111111,UPDATE,SESSION,,,,,,2020-11-10 22:25:45.000,2,796378,,Fuqua,Stephen,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,USER,,,,,,,11,11/10/2020,22:25,
System Admin,2908525646,Ed-Fi Alliance - Grand Bend High school,stephen.fuqua,stephen.fuqua@ed-fi.org,99588912,111111,READ,ASSIGNMENT,2979142114,Mid-Term Exam,Algebra I ༼ つ ◕_◕ ༽つ,ALG-1,Algebra I,2020-11-10 22:25:52.025,1,796378,,Fuqua,Stephen,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,COURSE,,,2942191514,2942191527,,ALG-1-1,11,11/10/2020,22:25,
System Admin,2908525646,Ed-Fi Alliance - Grand Bend High school,stephen.fuqua,stephen.fuqua@ed-fi.org,99588912,111111,READ,ASSIGNMENT,3067588818,Analytics Export Testing,Algebra I ༼ つ ◕_◕ ༽つ,ALG-1,Algebra I,2020-11-10 22:26:14.958,1,796378,,Fuqua,Stephen,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,COURSE,,,2942191514,2942191527,,ALG-1-1,11,11/10/2020,22:26,
Student,2908525646,Ed-Fi Alliance - Grand Bend High school,kyle.hughes,kyle.hughes@studentgps.org,100032891,604874,UPDATE,SESSION,,,,,,2020-11-10 22:54:46.014,3,796380,,Hughes,Kyle,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,USER,,,,,,,11,11/10/2020,22:54,
Student,2908525646,Ed-Fi Alliance - Grand Bend High school,kyle.hughes,kyle.hughes@studentgps.org,100032891,604874,READ,DISCUSSION,3278946222,First Algebra Discussion Topic,Algebra I ༼ つ ◕_◕ ༽つ,ALG-1,Algebra I,2020-11-10 22:54:49.628,2,796380,,Hughes,Kyle,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,COURSE,,,2942191514,2942191527,,ALG-1-1,11,11/10/2020,22:54,
Student,2908525646,Ed-Fi Alliance - Grand Bend High school,kyle.hughes,kyle.hughes@studentgps.org,100032891,604874,READ,DISCUSSION,3307515366,Ungraded Discussion (⌐■_■),Algebra I ༼ つ ◕_◕ ༽つ,ALG-1,Algebra I,2020-11-10 22:55:18.880,1,796380,,Hughes,Kyle,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,COURSE,,,2942191514,2942191527,,ALG-1-1,11,11/10/2020,22:55,
Student,2908525646,Ed-Fi Alliance - Grand Bend High school,kyle.hughes,kyle.hughes@studentgps.org,100032891,604874,SUBMIT,DISCUSSION,3307515366,Ungraded Discussion (⌐■_■),Algebra I ༼ つ ◕_◕ ༽つ,ALG-1,Algebra I,2020-11-10 22:55:45.111,2,796380,,Hughes,Kyle,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,COURSE,,,2942191514,2942191527,,ALG-1-1,11,11/10/2020,22:55,
System Admin,2908525646,Ed-Fi Alliance - Grand Bend High school,stephen.fuqua,stephen.fuqua@ed-fi.org,99588912,111111,CREATE,SESSION,,,,,,2020-11-11 14:57:54.229,1,796378,,Fuqua,Stephen,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,USER,,,,,,,11,11/11/2020,14:57,
System Admin,2908525646,Ed-Fi Alliance - Grand Bend High school,stephen.fuqua,stephen.fuqua@ed-fi.org,99588912,111111,UPDATE,SESSION,,,,,,2020-11-11 14:57:54.237,1,796378,,Fuqua,Stephen,WEB,2908525646,Ed-Fi Alliance - Grand Bend High school,,USER,,,,,,,11,11/11/2020,14:57,
