SourceSystemIdentifier,SourceSystem,UserRole,LocalUserIdentifier,SISUserIdentifier,Name,EmailAddress,CreateDate,LastModifiedDate,SourceCreateDate,SourceLastModifiedDate
100033985,BestLMS,student,lillian.ellison,605328,Lillian Ellison,Lillian.Ellison@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033986,BestLMS,student,walter.li,605332,Walter Li,Walter.Li@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033987,BestLMS,student,noman.montes,605334,Norman Montes,Norman.Montes@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033988,BestLMS,student,dwight.edwards,605339,Dwight Edwards,Dwight.Edwards@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033989,BestLMS,student,theodore.velazquez,605346,Theodore Velazquez,Theodore.Velazquez@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033990,BestLMS,student,matilda.wilkins,605349,Matilda Wilkins,Matilda.Wilkins@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033991,BestLMS,student,bernadette.vance,605351,Bernadette Vance,Bernadette.Vance@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033992,BestLMS,student,lucile.dickerson,605370,Lucile Dickerson,Lucile.Dickerson@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033993,BestLMS,student,summer.velasquez,605374,Summer Velasquez,Summer.Velasquez@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033994,BestLMS,student,iris.whitehead,605389,Iris Whitehead,Iris.Whitehead@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033995,BestLMS,student,troy.choi,605391,Troy Choi,Troy.Choi@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033996,BestLMS,student,julian.tyler,605393,Julian Tyler,Julian.Tyler@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033997,BestLMS,student,kyle.wilkerson,605408,Kyle Wilkerson,Kyle.Wilkerson@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033998,BestLMS,student,terrence.davidson,605447,Terrence Davidson,Terrence.Davidson@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
100033999,BestLMS,student,gregory.conrad,605449,Gregory Conrad,Gregory.Conrad@studentgps.org,8/20/20 12:34,8/20/20 12:34,,
